"","OldName1","OldName2","FullName","OuterLiner","Flute1","MidLiner","Flute2","InnerLiner","NewName1","NewName3","calliper","theoreticalECT"
"173","WT150/WT150","C","WTWT 221 C","WT130","DU085",NA,NA,"WT130","WTWT","C",4,3.950416
"174","WT150/WT150","C150WB","WTWT 222 C","WT130","DU125",NA,NA,"WT130","WTWT","C",4,4.3073575
"175","WT150/WT150","C130HP","WTWT 223 C","WT130","HP130",NA,NA,"WT130","WTWT","C",4,4.62919
"176","WT150/WT150","C160HP","WTWT 224 C","WT130","HP160",NA,NA,"WT130","WTWT","C",4,4.933468
"177","WT150/WT150","DW","WTWT 221 BC","WT130","DU085","DU085","DU085","WT130","WTWT","BC",8,5.330872
"178","WT150/WT150","DW150WB","WTWT 222 BC","WT130","DU125","DU085","DU125","WT130","WTWT","BC",8,6.01944
"179","WT150/WT150","DW130HP","WTWT 223 BC","WT130","HP130","DU085","HP130","WT130","WTWT","BC",8,6.64028
"180","WT150/WT150","DW160HP","WTWT 224 BC","WT130","HP160","DU085","HP160","WT130","WTWT","BC",8,7.227256
"181","WT200/T200","B","WTT 331 B","WT160","DU085",NA,NA,"DU145","WTT","B",3,4.347156
"182","WT200/T200","B150WB","WTT 332 B","WT160","DU125",NA,NA,"DU145","WTT","B",3,4.6787825
"183","WT200/T200","B130HP","WTT 333 B","WT160","HP130",NA,NA,"DU145","WTT","B",3,4.97779
"184","WT200/T200","B160HP","WTT 334 B","WT160","HP160",NA,NA,"DU145","WTT","B",3,5.260488
"185","WT200/T200","C","WTT 331 C","WT160","DU085",NA,NA,"DU145","WTT","C",4,4.406916
"186","WT200/T200","C150WB","WTT 332 C","WT160","DU125",NA,NA,"DU145","WTT","C",4,4.7638575
"187","WT200/T200","C130HP","WTT 333 C","WT160","HP130",NA,NA,"DU145","WTT","C",4,5.08569
"188","WT200/T200","C160HP","WTT 334 C","WT160","HP160",NA,NA,"DU145","WTT","C",4,5.389968
"189","WT200/T200","DW","WTT 331 BC","WT160","DU085","DU085","DU085","DU145","WTT","BC",8,5.787372
"190","WT200/T200","DW150WB","WTT 332 BC","WT160","DU125","DU085","DU125","DU145","WTT","BC",8,6.47594
"191","WT200/T200","DW130HP","WTT 333 BC","WT160","HP130","DU085","HP130","DU145","WTT","BC",8,7.09678
"192","WT200/T200","DW160HP","WTT 334 BC","WT160","HP160","DU085","HP160","DU145","WTT","BC",8,7.683756
"193","WT200/WT200","B","WTWT 331 B","WT160","DU085",NA,NA,"WT160","WTWT","B",3,4.230956
"194","WT200/WT200","B150WB","WTWT 332 B","WT160","DU125",NA,NA,"WT160","WTWT","B",3,4.5625825
"195","WT200/WT200","B130HP","WTWT 333 B","WT160","HP130",NA,NA,"WT160","WTWT","B",3,4.86159
"196","WT200/WT200","B160HP","WTWT 334 B","WT160","HP160",NA,NA,"WT160","WTWT","B",3,5.144288
"197","WT200/WT200","C","WTWT 331 C","WT160","DU085",NA,NA,"WT160","WTWT","C",4,4.290716
"198","WT200/WT200","C150WB","WTWT 332 C","WT160","DU125",NA,NA,"WT160","WTWT","C",4,4.6476575
"199","WT200/WT200","C130HP","WTWT 333 C","WT160","HP130",NA,NA,"WT160","WTWT","C",4,4.96949
"200","WT200/WT200","C160HP","WTWT 334 C","WT160","HP160",NA,NA,"WT160","WTWT","C",4,5.273768
"201","WT200/WT200","DW","WTWT 331 BC","WT160","DU085","DU085","DU085","WT160","WTWT","BC",8,5.671172
"202","WT200/WT200","DW150WB","WTWT 332 BC","WT160","DU125","DU085","DU125","WT160","WTWT","BC",8,6.35974
"203","WT200/WT200","DW130HP","WTWT 333 BC","WT160","HP130","DU085","HP130","WT160","WTWT","BC",8,6.98058
"204","WT200/WT200","DW160HP","WTWT 334 BC","WT160","HP160","DU085","HP160","WT160","WTWT","BC",8,7.567556
"205","WT200/T250","B","WTT 341 B","WT160","DU085",NA,NA,"TL220","WTT","B",3,4.492406
"206","WT200/T250","B150WB","WTT 342 B","WT160","DU125",NA,NA,"TL220","WTT","B",3,4.8240325
"207","WT200/T250","B130HP","WTT 343 B","WT160","HP130",NA,NA,"TL220","WTT","B",3,5.12304
"208","WT200/T250","B160HP","WTT 344 B","WT160","HP160",NA,NA,"TL220","WTT","B",3,5.405738
"209","WT200/T250","C","WTT 341 C","WT160","DU085",NA,NA,"TL220","WTT","C",4,4.552166
"210","WT200/T250","C150WB","WTT 342 C","WT160","DU125",NA,NA,"TL220","WTT","C",4,4.9091075
"211","WT200/T250","C130HP","WTT 343 C","WT160","HP130",NA,NA,"TL220","WTT","C",4,5.23094
"212","WT200/T250","C160HP","WTT 344 C","WT160","HP160",NA,NA,"TL220","WTT","C",4,5.535218
"213","WT200/T250","DW","WTT 341 BC","WT160","DU085","DU085","DU085","TL220","WTT","BC",8,5.932622
"214","WT200/T250","DW150WB","WTT 342 BC","WT160","DU125","DU085","DU125","TL220","WTT","BC",8,6.62119
"215","WT200/T250","DW130HP","WTT 343 BC","WT160","HP130","DU085","HP130","TL220","WTT","BC",8,7.24203
"216","WT200/T250","DW160HP","WTT 344 BC","WT160","HP160","DU085","HP160","TL220","WTT","BC",8,7.829006
"217","WK125/T125","DW","WKT 111 BC","WK135","DU085","DU085","DU085","DU085","WKT","BC",8,5.588172
"218","WK125/T125","DW150WB","WKT 112 BC","WK135","DU125","DU085","DU125","DU085","WKT","BC",8,6.27674
"219","WK125/T125","DW130HP","WKT 113 BC","WK135","HP130","DU085","HP130","DU085","WKT","BC",8,6.89758
"220","WK125/T125","DW160HP","WKT 114 BC","WK135","HP160","DU085","HP160","DU085","WKT","BC",8,7.484556
"221","WK125/WK125","B","WKWK 111 B","WK135","DU085",NA,NA,"WK135","WKWK","B",3,4.587856
"222","WK125/WK125","B150WB","WKWK 112 B","WK135","DU125",NA,NA,"WK135","WKWK","B",3,4.9194825
"223","WK125/WK125","B130HP","WKWK 113 B","WK135","HP130",NA,NA,"WK135","WKWK","B",3,5.21849
"224","WK125/WK125","B160HP","WKWK 114 B","WK135","HP160",NA,NA,"WK135","WKWK","B",3,5.501188
"225","WK125/WK125","C","WKWK 111 C","WK135","DU085",NA,NA,"WK135","WKWK","C",4,4.647616
"226","WK125/WK125","C150WB","WKWK 112 C","WK135","DU125",NA,NA,"WK135","WKWK","C",4,5.0045575
"227","WK125/WK125","C130HP","WKWK 113 C","WK135","HP130",NA,NA,"WK135","WKWK","C",4,5.32639
"228","WK125/WK125","C160HP","WKWK 114 C","WK135","HP160",NA,NA,"WK135","WKWK","C",4,5.630668
"229","WK125/WK125","DW","WKWK 111 BC","WK135","DU085","DU085","DU085","WK135","WKWK","BC",8,6.028072
"230","WK125/WK125","DW150WB","WKWK 112 BC","WK135","DU125","DU085","DU125","WK135","WKWK","BC",8,6.71664
"231","WK125/WK125","DW130HP","WKWK 113 BC","WK135","HP130","DU085","HP130","WK135","WKWK","BC",8,7.33748
"232","WK125/WK125","DW160HP","WKWK 114 BC","WK135","HP160","DU085","HP160","WK135","WKWK","BC",8,7.924456
"233","WK150/T150","B","WKT 221 B","WK135","DU085",NA,NA,"DU125","WKT","B",3,4.401106
"234","WK150/T150","B150WB","WKT 222 B","WK135","DU125",NA,NA,"DU125","WKT","B",3,4.7327325
"235","WK150/T150","B130HP","WKT 223 B","WK135","HP130",NA,NA,"DU125","WKT","B",3,5.03174
"236","WK150/T150","B160HP","WKT 224 B","WK135","HP160",NA,NA,"DU125","WKT","B",3,5.314438
"237","WK150/T150","C","WKT 221 C","WK135","DU085",NA,NA,"DU125","WKT","C",4,4.460866
"238","WK150/T150","C150WB","WKT 222 C","WK135","DU125",NA,NA,"DU125","WKT","C",4,4.8178075
"239","WK150/T150","C130HP","WKT 223 C","WK135","HP130",NA,NA,"DU125","WKT","C",4,5.13964
"240","WK150/T150","C160HP","WKT 224 C","WK135","HP160",NA,NA,"DU125","WKT","C",4,5.443918
"241","WK150/T150","DW","WKT 221 BC","WK135","DU085","DU085","DU085","DU125","WKT","BC",8,5.841322
"242","WK150/T150","DW150WB","WKT 222 BC","WK135","DU125","DU085","DU125","DU125","WKT","BC",8,6.52989
"243","WK150/T150","DW130HP","WKT 223 BC","WK135","HP130","DU085","HP130","DU125","WKT","BC",8,7.15073
"244","WK150/T150","DW160HP","WKT 224 BC","WK135","HP160","DU085","HP160","DU125","WKT","BC",8,7.737706
"245","WK150/WK150","B","WKWK 221 B","WK135","DU085",NA,NA,"WK135","WKWK","B",3,4.587856
"246","WK150/WK150","B150WB","WKWK 222 B","WK135","DU125",NA,NA,"WK135","WKWK","B",3,4.9194825
